"Connection", "Skill"
1, "E-commerce, Online Travel, Tourism, Hotels, Leisure, Revenue Analysis, Tour Operators, Travel Management, New Business Development."
2, " "
3, "Solution Selling, Enterprise Software, Security, Major Accounts, CRM, VMware."
4, "E-commerce, Online Marketing, Start-ups, Marketing Management, Strategy, Online Advertising."
5, "Information Security, IT Audit, CISM, CISA, Security, Information Security...."
6, " "
7, "Start-ups, Entrepreneurship, Mobile Applications, Cloud Computing, Mobile Internet, Strategic Partnerships, Mobile Marketing, Integration, Managed Services, Wireless, International Business, Strategic Planning."
8, "Internal Audit, Fraud, Forensic Accounting, Internal Controls, Auditing, FCPA, Due Diligence, Sarbanes-Oxley Act, Consolidation, Investigation, Litigation Support, Restructuring, Risk Assessment."
9, "Program Management, Governance, Leadership, Project Management, Information Security, Security."
10, "Digital Marketing, Digital Media, Social Media, Mobile Marketing."
11, "Executive Coaching, Workshop Facilitation, Training Delivery, Leadership Development, Management Consulting, Change Management, Strategy."
12, " "
13, "CISA, Governance, Information Security, Risk Management, CISM, IT Audit."
14, "Robotics, University Teaching, Lecturing, Research, Science, Teaching."
15, "Strategy, Enterprise Software, ITIL, Data Center, CRM, Outsourcing, Information Security."
16, "Strategy, Recruiting, Management Consulting, Consulting."
17, "Executive Search, Talent Management, Recruiting, Marketing, Talent Acquisition, Sourcing."
18, "Video Games, Mobile Games, Xbox 360, Game Development, Social Games, Online Gaming, Photoshop."
19, "Executive Search, Recruiting, Business Development, Networking, Technical Recruiting, Human Resources, Telecommunications, Information Technology."
20, "Business Development, Product Development, Sales Management, Strategic Planning, Market Development."
21, "Business Development, Team Leadership, Change Management, Project Management, Cloud Computing, Executive Search, Leadership, Interviews, Analytics."
22, "Information Security, Security, CISSP, PCI DSS."
23, "GoToMarket, Strategic Partnerships, Ad Serving, Content Development, International Business..., Digital Marketing, Establish & Maintain...."
24, "Enterprise Software, Partner Management, Channel Partners, Cloud Computing, Solution Selling, SaaS, Go-to-market Strategy, Business Alliances."
25, "Recruiting, Executive Search, Contract Recruitment, Technical Recruiting, Human Resources, Finance, Leadership, Talent Acquisition."
26, "Project Management, IT Management."
27, "Coaching, Change Management."
28, "Social Media, Online Publishing, Publishing, Editorial, Content Strategy, Management, Digital Media, Public Relations."
29, "Android, Mobile Devices, Web Applications, Software Development, Mobile Applications, Cloud Computing, Web Development."
30, " "
31, "Management Consulting, Project Management."
32, "Risk Assessment, Enterprise Risk..., IT Audit, Auditing, Internal Audit, CISA, Financial Analysis, Accounting, Information Security, IT Risk Management, Governance, Internet Banking, Risk Management, Financial Risk, Credit Risk, Banking, Accounting Applications, Corporate Finance, Assurance, Sarbanes-Oxley Act, Banking Applications."
33, "Solution Selling, Enterprise Software, Cloud Computing, Professional Services, SaaS, Pre-sales."
34, "Talent Acquisition, Recruiting, Executive Search, Talent Management, Technical Recruiting, Sourcing, Project Management, Vendor Management."
35, "Cloud Computing, Telecommunications, Managed Services, Pre-sales, Networking, Solution Architecture, Team Management, Infrastructure."
36, " "
37, "Data Center, Business Development, Cloud Computing, Business Continuity, Direct Sales, Telecommunications, Solution Selling."
38, "Software Development, Linux, MySQL, JavaScript, SQL, Java, Web Development, Python, Project Management, Databases, XML, CSS, Programming."
39, "Digital Strategy, Digital Marketing, Marketing Strategy, Social Media Marketing, Marketing Management, Brand Management, Email Marketing, Marketing Communications, Online Advertising, Social Media, Online Marketing, SEO, E-commerce, Customer Insight, Integrated Marketing."
40, "SDLC, Project Portfolio...."
41, "CISA, CISSP, CEH, CCNA."
42, "Digital Marketing, Mobile Devices, Business Development, Analytics, User Interface Design, Online Research, Survey Design, Advertising, Online Publishing, Customer Insight, Social Media Marketing."
43, " "
44, "Risk Management, Enterprise Risk..., Governance, Internal Controls."
45, "Recruiting, Contract Recruitment, Permanent Placement, New Business Development, Executive Search."
46, "Executive Search."
47, "Product Marketing, Online Advertising, Product Management, E-commerce."
48, "Key Account Management, Solution Selling, Strategic Thinking, Customer Experience, Value Based Selling, Professional Services."
49, " "
50, "Talent Acquisition, Talent Management, HR Consulting, Executive Search, Interviews, CRM, Recruitment Advertising, Human Resources."
51, " "
52, "Tax Advisory, Tax, Trusts, CPA, Corporate Tax, Auditing, IFRS, Tax Accounting, Mergers & Acquisitions, Income Tax, Partnership Taxation, External Audit, Internal Controls, Business Advisory, Business Valuation, Tax Law, Accountants, Accounting, Tax Preparation, Tax Returns, Audit."
53, " "
54, " "
55, "ITIL, Virtualization, Servers, Microsoft Exchange, Data Center, Cloud Computing, Information Security, CCNA, Deployment, Windows, IIS, Troubleshooting, Video Conferencing, Citrix."
56, "IT Audit, Governance, CISA, Risk Management, Information Security, ISO 27001."
57, "Linux, Mobile Applications, E-commerce, Web Analytics, PHP, MySQL, Web Development."
58, "Marketing Strategy, Telecommunications, Strategic Partnerships, Venture Capital, Angel Investing, Start-ups, Security, SaaS, Go-to-market Strategy, Marketing Management, Network Security, Cloud Security."
59, "Information Security..., Information Security, CISSP, Enterprise Risk..., IT Audit, Risk Management, CISM."
60, "Computer Graphics, Python, MEL, Visual Effects, Animation, Game Development, 3D."
61, "Digital Marketing, Business Strategy, Business Development, Marketing Strategy, Project Management, Social Media, Project Planning, CRM, Mobile Applications."
62, "Change Management, New Business Development, Social Enterprise, Charities, Third Sector, Governance, Social Entrepreneurship, Business Management, Public Relations, Marketing Strategy."
63, "Business Intelligence, Strategy, Strategic Consulting, Analytics."
64, "Strategy, Venture Capital, Management, Private Equity, Business Strategy, Executive Search, Start-ups."
65, "Testing, Software Engineering, PMP, CMMI, Software Project..., Process Improvement, Quality Assurance, Software Quality..., SDLC, Project Management, Linux, Scrum, Security, Requirements Analysis, Process Development, Software Development..., Agile, Process Engineering, Quality Management."
66, "Executive Search, Talent Acquisition, CRM."
67, "Information Security, Security, Governance, Cloud Computing."
68, "Entrepreneurship, Business Strategy, Start-ups, Management Consulting, Project Management, Business Development, Marketing Strategy, Strategic Planning, Business Analysis."
69, "Hedge Funds, Alternative Investments, Due Diligence, Equity Research, Investments, Valuation, Financial Modeling, Fixed Income, Fund Of Funds, Equities, Emerging Markets, Capital Markets, Asset Managment, Financial Analysis."
70, "Program Management."
71, "Information Security, Cloud Computing, E-commerce, Enterprise Software, Product Management, IT Management, PKI, Strategy."
72, "Product Management, Business Strategy, Telecommunications, Cloud Computing, Channel Partners, Pre-sales, Project Management."
73, "PMP, ITIL, SDLC, Data Center, IT Compliance, Leading Projects, IT Security Policies."
74, "Product Management, Business Development, Banking, Strategy, E-commerce, Payments, Project Planning, Contract Negotiation, Mobile Payments."
75, "Urban Design."
76, "Recruiting, Executive Search, Talent Acquisition, Management, Business Development, Technical Recruiting, Talent Management."
77, " "
78, "Due Diligence, Internal Controls, Enterprise Risk..., Management Consulting, Financial Modeling, Mergers & Acquisitions, Auditing, Business Process..., Forensic Accounting, Governance, Financial Analysis, Internal Audit, Risk Management, Strategy, Restructuring, Business Strategy, Fraud, Risk Assessment."
79, "Web Analytics, E-commerce, Web Project Management, Digital Strategy."
80, "Railway, Engineering Management, Systems Engineering, Signalling, Railway Systems, Project Management."
81, "Digital Marketing, Business Development, Contract Recruitment, Recruiting, Digital Media, HTML 5, Integrated Marketing."
82, "Strategy, Strategic Planning, Business Development, Business Analysis, Management, Training."
83, " "
84, "Strategic Partnerships, Digital Media, Enterprise Software, Analytics, Digital Strategy, Mobile Devices."
85, "Cisco Technologies, Security, Checkpoint, ASA, F5 BigIP, PIX, Citrix, vSphere, Netscreen, Cloud Computing, Data Center, Solution Architecture, IT Strategy, IT Management, IT Service Management, ITIL."
86, "Business Strategy, Strategy, Leadership, Executive Search, Business Planning, Operations Management, Strategic Planning, Executive Coaching, Business Intelligence."
87, "Security, ISO 27001, Governance, CISA, IT Audit, Cloud Computing, CISSP."
88, "Microsoft Office, Microsoft Excel, Photoshop, Microsoft Word, PowerPoint, Customer Service, Accounting, Social Media, Project Management, Graphic Design, Budgets, HTML."
89, "Product Management, Digital Marketing, Project Management, Mobile Applications, Mobile Devices, New Business Development, Strategic Planning."
90, "Cloud Computing, Project Management, XML, Software Development, Unix, Database Admin, Web Technologies."
91, "Banking, Project Management, Business Analysis, Risk Management, Retail Banking, Portfolio Management, Investment Banking, Financial Analysis, Financial Modeling, Credit Risk, Financial Risk, Business Process...."
92, "Digital Marketing, Integrated Marketing."
93, "Web Analytics."
94, "Internal Controls, Financial Reporting, Assurance, Auditing, Consolidation, Due Diligence, CPA, IFRS, IT Audit, Financial Audits, Forecasting, Information Security..., US GAAP."
95, "Advertising, Lead Generation, Business Development, Mobile Devices, Public Relations."
96, "Game Design."
97, "Valuation, Trading, Financial Modeling, Hedge Funds, Equity Research, Macro Analysis, Angel Investing, Algorithm Design."
98, "Digital Marketing, SEM, E-commerce, Marketing Communications, Copywriting, Integrated Marketing, Web Analytics."
99, "Business Planning, Business Strategy, Internal Controls, New Business Development, Financial Reporting, Strategy, Private Equity, Investment Management, Forecasting, Investments, Competitive Analysis, FMCG, Marketing Strategy, Strategic Planning, Cross-functional Team..., Due Diligence."
100, "E-commerce, Web Marketing, Digital Marketing, Digital Media, Entrepreneurship, Product Marketing, Marketing, Online Advertising, SEO, Business Development."
101, "E-commerce, Email Marketing, Mobile Marketing, Conversion Optimization, Marketing Communications, User Experience, Business Development, Account Management, Web Content Management, Web Project Management, Project Management, Web Development, Content Management, Mobile Internet."
102, "IT Service Management, Information Technology, Risk Assessment, Software Development, IT Audit, Security Management, Business Process..., Disaster Recovery, Network Security, Information Security, Security, Enterprise Architecture."
103, "Citrix Metaframe, Citrix, VMware ESX, Blackberry Enterprise..., SAN, Microsoft Servers, Windows Server 2003, Windows Server 2008, VMware, VMware Infrastructure, VMware Workstation, Citrix XenApp, Citrix XenDesktop, Citrix XenServer, Citrix Access Gateway, Avaya PBX, Storage, NAS, NetApp, Silver Peak, MobileIron, Netbackup."
104, "Equities, Securities, Portfolio Management, Asset Management, Investments, Capital Markets, Structured Finance, Bonds, Risk Management, Nonprofits, Private Banking, Private Equity, Real Estate, Relationship Management, Treasury Management, Wealth Management, Fundraising, Loans, Credit Analysis, AML, Financial Advisory, Commercial Lending, Credit Risk."
105, "CISA, ISO 27001, IT Audit, CISSP, Business Continuity..., Information Security."
106, "Digital Marketing, E-commerce, Online Advertising, Digital Strategy, Mobile Marketing, Web Analytics, Market Research, Brand Management."
107, "XML, Microsoft SQL Server, Oracle, JavaScript, Java, ASP, Business Intelligence, CRM, AJAX, PHP."
108, " "
109, "Security, Identity Management, Information Security, Security Architecture..., PKI, Professional Services."
110, "Short Sales, First Time Home Buyers, Foreclosures, REO, Sellers."
111, " "
112, "Change Management, Program Management, Leadership, Risk Management, Start-ups, Project Management, Business Development, Business Transformation, New Business Development."
113, "Security, Encryption, Information Security, Identity Management, Cloud Computing, Network Security, PKI, SaaS."
114, "Mobile Applications, Project Management, Linux, Databases, Software Project..., SQL, Security, PMP, Cloud Computing, Mobile Devices, Wireless Networking, Data Mining, Digital Certificates, Payment Gateways, J2EE Application..., Extreme Programming, Linux System..., Agile Methodologies, Software Engineering, MySQL."
115, "Telecommunications, Mobile Devices, Digital Media, Online Advertising, Broadcast Engineering, General Awesomeness, Account Management, Mobile Advertising, Oil&Gas."
116, "Cloud Computing, Pre-sales, SOA, Middleware, Enterprise Software, Business Alliances, Solution Selling, Solution Architecture."
117, "Enterprise Software, SaaS, Sales, Solution Selling, Go-to-market Strategy, Channel Partners, Strategic Partnerships, Cloud Computing."
118, "Cloud Computing, SaaS, Product Management, Start-ups, Software Development, Mobile Applications, IT Strategy, Data Center."
119, "Strategic Partnerships, Strategy, Strategic Planning, Online Advertising, Digital Marketing, Digital Media, Cross-functional Team..., Advertising."
120, "Talent Acquisition, Executive Search, Talent Management, Technical Recruiting, Recruiting, Contract Recruitment, Employer Branding."
121, "Business Continuity, Information Technology, Security Audits, Risk Assessment, Vulnerability Management, Risk Management, Security, Vulnerability Assessment, CISA."
122, "Executive Search, Talent Management, Recruiting, Consulting, Leadership."
123, " "
124, "Start-ups, Business Development."
125, "Entrepreneurship, Marketing Strategy, Social Media, Marketing Communications, Product Development, Marketing, Business Development."
126, " "
127, "VBA, Matlab, Data Analysis, Programming, Research, Mandarin, Teaching, English, Microsoft Excel."
128, "Executive Search, Human Resources, Talent Acquisition, FMCG, Strategy, Recruiting, Marketing, Management."
129, "Enterprise Software, Management, Asia Pacific, Outsourcing, Start-ups, Strategic Partnerships."
130, " "
131, "Digital Media, Strategic Partnerships, Online Advertising, Start-ups, Publishing, Entrepreneurship, Business Development, Advertising."
132, "Digital Strategy, Digital Marketing, Social Media, SEO."
133, " "
134, "Business Development, Integrated Marketing, Marketing, Business Planning, Fundraising, Business Strategy, Marketing Strategy, Strategy, Product Marketing, Strategic Partnerships, Product Management, Market Research."
135, "Digital Media, Social Media, Business Strategy, Online Advertising, Business Development, Start-ups, Strategic Planning, New Business Development, Video Production, Project Management, Marketing Strategy, Mobile Games, Editing, New Media, Storytelling."
136, "Enterprise Risk..., Internal Audit, Due Diligence, Governance, Management Consulting, CISA, Internal Controls, Restructuring."
137, "IT Audit, Sarbanes-Oxley Act, SAS70, CISA, Internal Audit, Risk Assessment."
138, "Business Development, Start-ups, Project Management, Advertising, Team Leadership, Public Speaking, Budgets, Strategic Planning, Publishing, Chinese culture, New Media Strategy, Digital Media."
139, "Social Media Marketing, E-commerce, Online Advertising, Digital Marketing, Mobile Marketing, Strategic Planning."
140, "Entrepreneurship, E-commerce, Digital Marketing, Business Strategy."
141, "Airlines, Airports, Aviation, Commercial Aviation, Aircraft, Aircraft Maintenance, Flights, Revenue Analysis."
142, "Digital Strategy, Digital Media, New Media, Web Analytics."
143, "Sales Management, Business Development, Strategy, Revenue Analysis, E-commerce, Global Business..., Yield Management, Account Management, Management."
144, "Computer Forensics, Security, Information Security, Computer Security, Cybercrime."
145, "E-commerce, Digital Marketing, Management, Product Development, Project Management, New Business Development, Team Leadership, Strategic Planning, Online Advertising, Email Marketing, Marketing."
146, "Project Management, Cross-functional Team..., Mobile Applications, Product Development, Business Development, Team Management, IPTV, Set Top Box, Entertainment, Solution Architecture, Problem Management, Problem Solving, New Business Development, Operations Management, Risk Management, Video On Demand, Digitize Video, Start-up Environment."
147, "VBA, Databases, Investment Banking, Client Services, Programming, Software Project..., Portfolio Management, Business Strategy, CISA, Mandarin."
148, " "
149, "Cloud Computing, Business Strategy, Vendor Management, Business Analysis, CRM, Outsourcing, Product Development, Start-ups."
150, "MySQL, JavaScript, PHP, HTML, Mobile Applications, Mobile Devices, Web Analytics, User Experience, Linux, Software Project...."
151, "Governance, Information Technology, Information Security, Security, Risk Management, Computer Forensics, Strategy."
152, "Cloud Computing, Security, Governance."
153, " "
154, "Account Management, Solution Selling, Strategy, B2B, Product Management, Business Development, Sales Management."
155, "Product Marketing, Mobile Devices, Product Management, Go-to-market Strategy, Mobile Technology."
156, "Security, Computer Security, Network Security, Business Continuity, New Business Development, Networking, Business Strategy, Strategic Planning."
157, " "
158, "Management Consulting, Business Strategy, Change Management, Start-ups, Telecommunications, Government."
159, "Security, Information Security, IT Strategy, Program Management, Enterprise Software."
160, "IT Outsourcing, Managed Services, Outsourcing, IT Service Management."
161, "Strategy, Solution Selling, Management, E-commerce, Business Development, Go-to-market Strategy."
162, "E-commerce, CRM, Strategy, Product Management, Mobile Devices, Mobile Payments, Business Development."
163, "Business Development, Solution Selling, E-commerce, Strategy, Sales Management, Digital Media."
164, "Leadership, New Business Development, Event Management, Management, International Sales, B2B, Team Management, CXO level engagement, Account Management."
165, "Cloud Computing, Enterprise Software, International Sales, SaaS, Sales Management."
166, "Start-ups, Telecommunications, Business Strategy, Mobile Devices, Product Marketing, Strategy, Wireless, New Business Development, Marketing Strategy, Business Development, Strategic Partnerships, Mobile, VoIP, Strategic Planning, Business Planning, Team Building, IP, Operations Management, Strategy Development, Negotiation, Mergers, Integration, Management Consulting, Customer Service, Outsourcing."
167, " "
168, "Solution Selling, Cloud Computing, Enterprise Software, Product Management, Account Management, Information Security, Project Management, E-commerce."
169, "IT Strategy, Strategy, Business Strategy, Management Consulting, Project Management, Leadership, Governance."
170, "Performance Management, Recruiting, Human Resources, Training, Management, Customer Service, Leadership, Coaching, Sales."
171, "Cloud Computing, Enterprise Software, Security."
172, " "
173, "Managed Services, IT Outsourcing, Service Delivery, Outsourcing, IT Service Management, IT Strategy, PMP."
174, "Web Analytics, Online Advertising, SEO, Website Development, Business Development, Databases, Mobile Applications, Web Applications, Digital Marketing, Digital Media."
175, "Digital Media, New Media, Digital Marketing, Social Media, Radio, Web Development."
176, "Business Development, DLP, Partner Management, SaaS, Cloud Computing, Solution Selling."
177, "Security, Data Center, Digital Certificates, Information Security..., IT Service Management, Public Key Cryptography, PGP, Life Insurance, AS400 system, Midas, Software Project..., Project Management, IT Strategy, Business Analysis, Vendor Management, Certification Authority, Global Trade System, WebTrust Consulting."
178, "Solution Selling, Enterprise Software, Management, Consulting, New Business Development, Business Alliances."
179, "Project Management, Vendor Management, Information Technology, IT Management, Information Security..., Program Management, Software Project..., E-commerce."
180, "Public Policy."
181, "Recruiting, Executive Search, Technical Recruiting, Human Resources, Consulting, Engineering, Talent Acquisition."
182, "ERP, Project Management, Change Management, Strategy, PMP."
183, "Cloud Computing."
184, "Internet Governance, IPv6, DNSSEC, Internet Security, Privacy Law, Start-ups, Mobile Applications, E-commerce, Entrepreneurship, Linux, Mobile Devices, Web Development, Mobile Internet, Security, Mobile Technology, Digital Strategy."
185, "Strategic Planning, Budgets, PowerPoint, Customer Service, Microsoft Word, English, Research, Outlook, Public Speaking, Negotiation, Microsoft Office, Microsoft Excel, Windows, Teaching."
186, "Software Development, Integration, .NET, ASP.NET, Software Engineering, Microsoft SQL Server."
187, "Computer Forensics, Information Security, Penetration Testing."
188, " "
189, "Leadership, Business Strategy, Strategy, Business Development, Start-ups, Outsourcing, Sales, Telecommunications."
190, "Marketing, Brand Development, Digital Marketing, Social Networking, Social Media Marketing, Advertising, Microsoft Office, Microsoft Excel, Customer Service, Marketing Communications, Project Management, Email Marketing, Online Advertising, Microsoft Word, Research, Event Management, Photoshop, HTML, PowerPoint, Marketing Strategy, Creative Direction."
191, "Digital Marketing, SEM, E-commerce, Digital Strategy, Online Marketing, Social Media Marketing, SEO, Google Analytics, Google Adwords, Mobile Devices, Email Marketing, Competitive Analysis, Web Analytics, Mobile."
192, "Digital Marketing, E-commerce, Social Media Marketing, Mobile Devices, Online Marketing, New Media."
193, "Management Consulting, Social Media, Business Strategy, Project Management, Marketing Strategy, New Business Development."
194, "Recruiting, Information Technology, Vendor Management, Technical Recruiting, Executive Search, Sourcing, Talent Acquisition, IT Recruitment."
195, "Executive Search, Recruiting, Search, Talent Acquisition, CRM, Talent Management."
196, " "
197, "Outsourcing, Business Development, Change Management, Entrepreneurship, Management."
198, "Recruiting, Executive Search, HR Consulting, Talent Management, Talent Acquisition, Employee Engagement, Human Resources, Deferred Compensation, HR Policies, Employer Branding."
199, "Computer Forensics, Security, Penetration Testing, ISO 27001, Information Security..., Vulnerability Assessment, Application Security."
200, "Sales Operations, Key Account Management, Account Management, Sales Process, B2B, Strategic Partnerships, Business Development, Negotiation, International Sales, Sales Presentations, Marketing Management, Lead Generation, Sales Management."
201, " "
202, "Project Management."
203, "Business Alliances, Business Development, Start-ups, Cloud Computing, Entrepreneurship, Business Strategy, Strategic Partnerships, Business Planning, Strategy."
204, "Security, Information Security, Cloud Computing, ITIL, CISSP, IT Service Management, Information Security..., ISO 27001."
205, "Film, Film Production, Public Relations, Feature Films, Video Production, Producing, Digital Media, Publicity, Social Media Marketing, Marketing Communications."
206, "Mobile Devices, Integrated Marketing, Digital Strategy, Mobile Marketing, Mobile Applications, Digital Marketing, Digital Media, Online Advertising."
207, "Computer Forensics, Cybercrime, Private Investigations, Security Management, Computer Security, Networking."
208, "Start-ups, Project Management, Business Development, Networking, Business Strategy, New Business Development, Strategic Planning."
209, " "
210, "Cloud Computing, SaaS, Enterprise Software, Business Development, Solution Selling, Strategic Partnerships, Channel Partners, Start-ups."
211, "Start-ups, Entrepreneurship, Change Management, E-commerce."
212, "Product Management, Software Project..., Program Management, Account Management, Scrum, Cloud Computing, Strategy, Mobile Applications, Business Strategy, E-commerce, Business Analysis."
213, "Security, Information Security, Information Security..., CISSP, ISO 27001, Penetration Testing, Leadership."
214, "IT Strategy, IT Management, Business Analysis, Management, Banking."
215, "Strategy, Professional Services, Talent Management, Product Management, E-commerce, Channel Partners, Pre-sales, Sales Management."
216, "ITIL, Project Delivery, Service Delivery, Vendor Management, Incident Management, IT Service Management, Disaster Recovery, Stakeholder Management, Risk Management, IT Operations, IT Management, Process Improvement, Sla, Relationship Management, Project Management, Banking, Change Management."
217, " "
218, "Mobile Applications, Mobile Internet, Mobile Devices, Mobile Advertising, Entrepreneurship, iPhone, Mobile Technology."
219, " "
220, "Strategic Partnerships, Business Alliances, Go-to-market Strategy, Solution Selling, Channel Partners, Channel."
221, "E-commerce, Mobile Applications, Web Analytics, Web Project Management, Digital Marketing, Mobile Internet, Project Management, Web Design, Website Development, Digital Strategy, Digital Media, Management, iPhone."
222, "ITIL, IT Service Management, IT Management, Project Management, Vendor Management, IT Strategy, Service Management, Information Technology."
223, "Email Marketing, Digital Marketing, Online Advertising, Start-ups, CRM, Strategy, Entrepreneurship."
224, "E-commerce, Analytics, SEM, Email Marketing, Start-ups."
225, "Strategy, Program Management, Outsourcing, IT Strategy, Leadership, Governance, Information Technology, Vendor Management."
226, "Enterprise Architecture, SOA, Solution Architecture, Software Development."
227, "E-commerce, Project Management, IT Management, Information Technology, Software Development, IT Strategy, Vendor Management, Internet Technologies, Information Security, Programming, Technical Sales..., Internet, PKI, Solution Architecture, Cloud Computing, Web Project Management, PMP, SDLC, Pre-sales."
228, "E-commerce, Web Analytics, SEM, Online Marketing, Google Analytics, PPC, Conversion Optimization, SEO, Google Adwords, Affiliate Marketing, SQL, Digital Marketing, Analytics, Online Advertising."
229, "Cloud Computing, Business Development, SharePoint, Enterprise Content...."
230, "New Media, Television, Broadcast, Digital Media, Content Management, Business Management, Video Production, New Business Development."
231, "Start-ups, Cloud Computing, SaaS, Networking, Enterprise Software, Go-to-market Strategy, Management, Entrepreneurship."
232, " "
233, " "
234, " "
235, " "
236, "Customer Service, Social Networking, Research, Microsoft Word, Teamwork, Microsoft Office, Microsoft Excel, Event Planning, Social Media."
237, "Management, Business Process..., Governance, Strategic Planning, Security, Business Development, Negotiation."
238, " "
239, "Online Advertising, Advertising, Digital Marketing, E-commerce."
240, "Business Development, Digital Marketing, Digital Strategy, Mobile Marketing, Online Advertising, Online Marketing, Marketing Strategy, Social Media Marketing, Integrated Marketing."
241, "Human Resources, HR Consulting, Talent Acquisition, Office Administration, Talent Management, Executive Search, Employee Relations."
242, "Sales Management, Management, Business Development, E-commerce, New Business Development, Business Planning, Strategic Planning, Operations Management, Supply Chain Management, Negotiation, Account Management, Sales, Forecasting, Marketing Strategy, Team Management."
243, " "
244, " "
245, " "
246, "Data Modeling, ETL, Business Intelligence, Data Warehousing, Solution Architecture, Enterprise Architecture, DB2, Data Migration, Architecture Governance, Business Intelligence..., Modeling, Data Conversion, Database Management, OLAP, Dimensional Modeling, Cognos, Data Integration, SDLC, Data Architecture, ITIL, Zachman."
247, "Recruiting, Executive Search, Contract Recruitment, Sourcing, Talent Management, Recruitment Advertising, Permanent Placement, Business Development, Information Technology."
248, " "
249, "Information Security, Computer Forensics, Information Security..., Forensic Analysis, IT Audit, Security Management, Security Audits, Private Investigations, Risk Assessment, CISSP, Investigation, CISA, Business Continuity, CISM, Certified Fraud Examiner, ISO 27001, EnCase, Computer Security, Enterprise Risk..., PCI DSS, Penetration Testing, Security, Security Architecture..., Security Awareness, Vulnerability Assessment."
250, "Web Development, Mobile Marketing, Web Analytics, Web Project Management, Amazon Web Services..., Online Marketing."
251, " "
252, "Mobile Marketing, Integrated Marketing, Mobile Advertising, Advertising, Digital Marketing, Social Media Marketing, Press Releases."
253, "Cloud Computing, Product Management, Strategic Partnerships, Smart Cards."
254, "IT Strategy, Project Management, PMP, Business Development, Strategic Planning, Business Process..., ERP."
255, "Cloud Computing."
256, "Media Relations, Crisis Communications, Marketing Communications, Corporate Communications, Client servicing, Event Management, Public Relations, Press Releases."
257, "Theory of Constraints, Management Consulting, Critical Chain Project..., Operational Excellence, Outsourcing, Business Strategy, Business Process."
258, " "
259, "Integration, Cloud Computing, Solution Architecture, ITIL, IT Service Management, Enterprise Architecture, Software Project..., Pre-sales, IT Strategy."
260, "Fixed Assets, Financial Statements, Accruals, Tax Accounting, General Ledger, Financial Reporting, Accounting, GAAP, Account Reconciliation, Financial Accounting, Internal Controls, Auditing, Journal Entries, Tax, Accounts Payable, US GAAP, Variance Analysis, Accounts Receivable, QuickBooks, Tax Preparation."
261, "Business Analysis, Software Development, Process Improvement, Quality Assurance, Project Management, SQL, Testing, ITIL, CMMI, Linux, Outsourcing, Product Development, Telecommunications, Software Quality..., Analysis."
