"Connection", "Skill"
262, "Recruiting, Executive Search, Personnel Management, Management, Consulting, Talent Management, Employee Benefits."
263, "Recruiting, Executive Search, Strategic Planning, Marketing, Retail, Executive Management, Business Strategy, Strategy."
264, "Cloud Computing, CRM, Enterprise Software, SaaS."
265, "Cloud Computing, Enterprise Architecture, Information Security...."
266, "Enterprise Software, Integration, Data Center, Business Development, ERP, Cloud Computing, Information Security, Management."
267, "Digital Media, Project Management, Strategic Partnerships, Digital Distribution, Mobile Applications, Mobile Devices, SEM, VOD, Streaming Media, New Media."
268, "CISSP, CISA, IT Strategy, ITIL, IT Service Management, Governance, IT Audit, E-commerce, Office Operations, Business Service..., Data Center, Project Management, Management."
269, "Cloud Computing, Enterprise Software, Solution Selling, Strategy, SaaS, Outsourcing, Selling."
270, " "
271, "Business Development, Project Management, Accounting, Strategic Planning, Mergers & Acquisitions."
272, "Digital Media, Mobile Devices, Consumer Electronics, Business Development, Start-ups, IPTV."
273, " "
274, "IT Strategy, IT Management, Program Management, Cloud Computing."
275, "Vendor Management, IT Strategy, Outsourcing, IT Service Management, ITIL."
276, "Sales Management, Business Development, Selling, New Business Development, Analytics, International Sales, Start-ups."
277, "Online Gaming, Digital Media, Game Development, Mobile Devices."
278, "Container, Six Sigma, Operations Management, Outsourcing, Logistics Management, Operations Research, IT Strategy, ERP."
279, "Business Alliances, Cloud Computing, Data Center, Solution Selling, Go-to-market Strategy, Professional Services, Channel Partners, Pre-sales."
280, "Social Media Marketing, Blogging, New Media, Digital Marketing, Digital Strategy, Content Strategy."
281, "Management Consulting, Management, Business Process..., Business Development, Business Planning, Telecommunications."
282, "Mobile Applications, iOS development, User Interface, Objective-C, User Experience Design, Web Analytics, Android Development, iOS, SQL, Git, Linux System..., Databases, Python, Cloud Computing, Security."
283, " "
284, "Program Management, Strategic Planning, Professional Services, IT Service Management, Outsourcing, Change Management, Public Sector."
285, "Market Research, Marketing Strategy, Marketing, Digital Marketing, Marketing Communications, Business Strategy, Lead Generation, Budgets, Strategic Planning, Event Management, Internal Audit, Project Management, Competitive Analysis, Management, Marketing Management."
286, "SEO, SEM, Digital Marketing."
287, "Recruiting, Business Development, Account Management, Sourcing, Headhunt, Cold Calling, Retail, Human Resources."
288, "Visual Basic, Excel VBA, Microsoft SQL Server, Banking, VBA, E-commerce, Java, Windows Server."
289, "Information Security, Security, CISSP, Computer Security."
290, " "
291, "Telecommunications, Pre-sales, VoIP, IPTV, SaaS."
292, "IT Audit, CISA, Information Security, IT Controls, Risk Management, Corporate Governance, Technology Needs..., COBIT, ITGC, Data Privacy, Compliance, IT Security."
293, "IT Service Management, ITIL, Vendor Management, Data Center, IT Operations."
294, "Data Center, ITIL, Internet Services, Network Architecture, Capacity Management, CDCP, Service Providers, CDCS."
295, " "
296, "Talent Acquisition, Recruiting, HR Consulting, Executive Search, Talent Management, HRIS, Technical Recruiting, Sourcing, Contract Recruitment, Internet Recruiting, Screening, Applicant Tracking...."
297, "Mobile Applications, Product Management, Web Development, Cloud Computing, Web Analytics, Product Development."
298, "Business Analysis, Business Intelligence, Cloud Computing, Integration, IT Management, Enterprise Architecture, Enterprise Software, Pre-sales, Unix."
299, "Business Development, New Business Development, Sales Management, Business Strategy, Strategic Planning, Management, Project Management, Team Building, Team Management, Customer Service, Operations Management, Negotiation."
300, "Entrepreneurship, Digital Media, Start-ups, Strategic Partnerships, Business Strategy, Leadership."
301, "Management, Program Management, Business Planning, Professional Services, Business Development, Cloud Computing."
302, "Enterprise Software, Solution Selling, Pre-sales, SaaS, Channel Partners, Cloud Computing, Channel."
303, "Process Improvement, Procurement, Supply Chain, Inventory Management, Retail, Vendor Management, Supply Chain Management, Sourcing."
304, "Public Speaking, Training, Leadership."
305, " "
306, "User Experience, Drupal, SEO, E-commerce, Web Design, Accessibility."
307, "Computer Graphics, Multimedia, Maya, Computer Animation, Modeling."
308, " "
309, "Cloud Computing, Enterprise Software, Software Development, Product Management, Business Development, Databases."
310, "New Media, Video, Documentaries, Social Media, Newspapers, Broadcast, Broadcast Journalism, Content Strategy, Creative Writing, Online Journalism."
311, " "
312, "Business Process..., Technical Architecture, IT Risk Management, IT Management."
313, "Spring, C#, Multithreaded..., Java Enterprise Edition, Java, C++, MVC, Singleton, Scala, Scalable Architecture, Data Structures, Design Patterns, J2EE Application..., Equities Technology, Equity Derivatives, Swaps, Forwards, Options, Market Making."
314, "Video, Multimedia, Editing, Animation, Journalism, Digital Media, Storytelling, Social Media."
315, "Strategy, Business Strategy, Corporate Communications, Corporate Social..., Marketing Strategy, Sports Marketing, Marketing Communications."
316, " "
317, " "
318, " "
319, "Solution Selling, Pre-sales, Business Development, Business Intelligence, Demand Generation, Business Strategy, Product Management, ERP, Competitive Analysis, New Business Development, Account Management, Marketing Management."
320, "Data Center, Network Security, Information Security, Business Continuity, Infrastructure, ITIL, Vendor Management."
321, " "
322, "Java, SQL, Software Development, Oracle, Scrum, Database Design, Data Warehousing, Software Engineering, System Architecture, Oracle RAC, Database Administration, Data Mining, Solaris 8/9/10, Informatica, Hyperion Reports, Business Intelligence..., Big Data."
323, "Enterprise Software, Cloud Computing, IT Strategy, Business Intelligence, CRM, Business Alliances, Product Marketing, Data Center."
324, "Strategic Partnerships, Start-ups, Mobile Devices, Telecommunications, Business Development."
325, "Art, Creative Direction."
326, " "
327, " "
328, "Talent Acquisition, Recruiting, Talent Management, Technical Recruiting, Sourcing, CRM, Executive Search, Pre-sales, Integration, ERP."
329, "Project Delivery, Data Center, IT Strategy, Governance, PMP, IT Service Management, ITIL, Vendor Management, Stakeholder Management, Service Delivery, Risk Management, PMO, IT Management, Banking, SDLC."
330, "Telecommunications, IPTV, Pre-sales, VOD, Digital TV, Product Management, IP, Broadband, Satellite Communications."
331, " "
332, "IT Audit, CISA, Enterprise Risk..., Sarbanes-Oxley Act, Governance, Corporate Governance, Internal Audit, Risk Management."
333, " "
334, "Web Applications, HTML 5, jQuery, MySQL, PHP, Microsoft SQL Server, C#, Project Management, System Architecture, Systems Analysis, Performance Tuning, Resource Management, Google Analytics, Google Webmaster Tools, Python, MongoDB, Redis, Firefox Extensions, iOS development, Facebook API, Apache 2, IIS, Nginx, Lighttpd, Linux Server, Windows Server."
335, "Data Center, Service Delivery, Service Management, ITIL, IT Service Management, Leadership, Disaster Recovery, Telecommunications, Cloud Computing, Virtualization, Vendor Management, Team Management, Microsoft Office."
336, "Online Travel, Ticketing, Management, Airlines, Product Management, Training, Analysis, GDS, Travel Technology, Amadeus, IATA, Galileo, Airlines relationship, GDS/CRS operation."
337, "Editing, Mandarin, Microsoft Word, Microsoft Excel, PowerPoint, Chinese culture, Chinese Foreign Policy, English, Political Science, Working Abroad, Living Abroad, Study Abroad Programs, Multicultural, Content Writing, Lead Generation, Event Management, Business Development, Sales, Client Relationship..., Sugar CRM."
338, " "
339, " "
340, "IT Service Management, ITIL, Governance, IT Strategy, Business Process, PMO, Information Technology, Solution Architecture."
341, " "
342, "Event Management, Social Networking, New Business Development, Start-ups, Entrepreneurship, Business Strategy, Sales Management."
343, "Social Media, New Media, Cloud Computing, Mobile Devices."
344, "Digital Marketing, Online Advertising, Social Media Marketing, Email Marketing, Advertising, Strategy, Facebook, Integrated Marketing, Web Content Management, Marketing / Advertising...."
345, "DB2, AIX, Data Modeling, TSO, Performance Tuning, Data Warehousing, JCL, Microsoft SQL Server, COBOL, Solaris."
346, "Telecommunications, Management Consulting, Start-ups, Business Strategy, Cloud Computing, Strategic Planning, Business Transformation."
347, " "
348, "Change Management, Business Strategy, Investment Banking, Business Analysis, Equities, Project Delivery, Financial Modeling, Strategic Planning, Organizational Design, Vendor Management, Project Portfolio..., Management Consulting."
349, " "
350, "Executive Search, Business Strategy, Human Resources, Strategy, Finance, Talent Management, Financial Services, Private Equity."
351, "Change Management, Human Resources, Talent Management, Performance Management, Organizational..., Employee Benefits."
352, "Enterprise Software, Pre-sales, Cloud Computing, Storage, Virtualization, Business Development, Data Center."
353, "IT Audit, Enterprise Risk..., Sarbanes-Oxley."
354, "Governance, CISA, Leadership, Management, COBIT, IT Audit, CISM."
355, "PMP, Software Project..., Oracle."
356, "Change Management, Talent Management, Leadership Development, Staff Development, Training, Organizational..., Personal Development, Psychology, Coaching."
357, "Cloud Computing, Partner Management, Storage, Solution Selling, Business Alliances."
358, " "
359, "Information Security..., Information Security, Penetration Testing, ISO 27001, CISSP, Governance, CISM, Security."
360, "Cloud Computing, Solution Selling, Enterprise Software, Professional Services, CRM, SaaS, Partner Management, Go-to-market Strategy, Software Industry."
361, "Information Security, Security, CISSP, Penetration Testing, Information Security..., Application Security, Integration."
362, " "
363, "Executive Search, Recruiting, Human Resources, IT Recruitment, Technical Recruiting, Talent Acquisition, Contract Recruitment."
364, "Business Development, Mobile Devices, Go-to-market Strategy, Embedded Systems, Product Management, Global Business..., Product Development."
365, "Telecommunications, Strategic Partnerships, Strategy, New Business Development, Recruiting, Marketing Strategy."
366, "Fraud, Auditing, Internal Controls, Data Analysis, Business Analysis, Business Process..., Risk Management, Management."
367, "CISA, Enterprise Risk..., CISM, Governance, Information Security, Information Technology, Information Security...."
368, "Governance, Data Analysis, E-commerce, Research, Management Consulting, Teaching, Auditing, Analysis, Knowledge Management."
369, "Business Development, Business Strategy, Strategic Planning, Business Planning, Product Development, Product Management, Key Account Management, Strategy, Change Management."
370, "Supply Chain Management, Supply Chain, ERP, Logistics, 3PL, Process Improvement."
371, "Digital Marketing, Marketing Management, Online Advertising, Integrated Marketing, Marketing Strategy, Strategic Partnerships, Marketing, Product Management, SEM, Health Club."
372, "Java, E-commerce, Web Services, Tomcat, MySQL, XML."
373, "Strategy, Start-ups, Business Development, Market Research, Business Strategy, Consulting, Integration."
374, "Strategic Partnerships, Mobile Games, Mobile Devices."
375, "Business Development, Management, Management Consulting, Marketing, Strategic Planning, Business Strategy."
376, " "
377, "Facilities Management, Corporate Real Estate, Real Estate Development, Contract Management."
378, "Strategic Partnerships, Start-ups, Venture Capital, Entrepreneurship, Product Management, Mobile Devices, Social Impact."
379, "Java, Enterprise Architecture, Java Enterprise Edition, Architectures, SOA, Weblogic."
380, "Telecommunications, Cloud Computing, Managed Services, Outsourcing, Solution Selling, Channel Partners, Executive Search."
381, "Strategic Partnerships, New Business Development, Streaming Media, Mobile Devices, Start-ups, Business Development, VOD."
382, "Publishing, Journalism, Magazines, Copy Editing, Online Publishing, New Media, Online Journalism, Mobile Devices."
383, "Revenue Analysis, Online Travel, Airlines, Strategy, Hotels, Strategic Planning, Marketing, Tourism, Pricing, Leisure Travel, E-commerce, Revenue Management."
384, "Internet Governance, E-commerce."
385, "Recruiting, Talent Management, Contract Recruitment, Executive Search, Onboarding, Talent Acquisition, Technical Recruiting, Employee Relations, Employer Branding."
386, "Cloud Computing, Business Development, Strategy, Team Management, Solution Selling, Management."
387, " "
388, " "
389, "Business Strategy, Strategic Planning, Change Management, Management Consulting, Start-ups, Entrepreneurship, Strategy, Management, CRM, Legislative Relations, Project Management, Business Development, New Business Development, Program Management, Public Relations, Cloud Computing, Business Analysis, Social Media, Marketing Strategy."
390, " "
391, " "
392, " "
393, "Mobile Devices, Product Management, Digital Media, Strategy, Mobile Applications, Product Development."
394, "Game Design, Game Development."
395, "Executive Management, Broadcast, Business Strategy, Business Planning, Digital Media, Corporate Finance, M&A experience."
396, "Risk Management, CISA, Financial Risk, Information Technology, Internal Controls, IT Audit."
397, "Project Management, Digital Marketing, Marketing Communications, Social Media, Social Media Marketing, Online Advertising."
398, "AIWS."
399, "Product Management, Business Development, Management, Product Marketing, Enterprise Storage, Channel, Cloud Computing, Marketing Strategy."
400, "Marketing Strategy, Business Development, Business Strategy, Marketing Communications, Solution Selling, Public Relations, Public Speaking, Digital Marketing."
401, "SaaS, Enterprise Software, Solution Selling, Business Development."
402, " "
403, "Cloud Computing, Enterprise Software, E-commerce, Data Center, XML, Microsoft SQL Server, Software Project..., Oracle, Solution Selling, Information Security, Product Management, EDI, SDLC, Business Analysis, Business Development, Account Management, Unix, ITIL, Project Management, JavaScript, Web Services, Supply Chain Management."
404, "ITIL, IT Service Management."
405, "Strategy, Management Consulting, Business Strategy, CRM, IT Strategy."
406, "Management, Business Development, Business Strategy, Digital Marketing."
407, "IT Audit, Risk Management, Auditing, Security, Internal Audit, CISA, Risk Assessment, Insurance, SDLC, COBIT, Finance, Risk Mitigation, SOX, Risk."
408, "User Experience, User-centered Design, Interaction Design, Usability, Usability Testing, Information Architecture, Ethnography."
409, "SEM, SEO, Web Analytics, Online Advertising, Paid Search Strategy."
410, "IT Audit."
411, "Software Development, CMS, Online Advertising, Website Development, Integration, Web Analytics, CSS, PHP, SQL, Mobile Applications, HTML 5, jQuery, Appcelerator Titanium, DoubleClick for..., JavaScript."
412, "Information Management, Web Applications, Enterprise Content..., Web Services, Content Management, Software Project..., Project Management."
413, "Risk Management, Enterprise Risk..., IT Audit, Information Security, Sarbanes-Oxley Act, Internal Controls, Internal Audit, Privacy Law, Information Security..., COSO, Data Privacy, Governance, Management Consulting, Risk Assessment, Corporate Governance, Business Process..., Business Continuity, IT Strategy."
414, "Vendor Management, Product Development, Mobile Communications, Project Management, Strategic Planning, Team Management, Mobile Technology, Leadership, Management, Problem Solving."
415, " "
416, "Internal Audit, Risk Management, IT Audit, Business Process..., Management, Enterprise Risk..., Finance."
417, "Business Process..., Governance, Business Continuity, Risk Management, Auditing, Risk Assessment, Information Security, Iso 9000, ISO 27001, Quality Management, New Business Development, Business Development, Strategy, Management, Business Analysis, ITIL, Sales Management, Training, Business Strategy, IT Audit, IT Strategy, Internal Audit, Business Continuity..., Pre-sales, Coaching, Enterprise Risk..., Disaster Recovery, Business Planning, Process Improvement."
418, "Recruiting, Talent Acquisition, Talent Management, Executive Search, Digital Marketing, Contract Recruitment, Graduate Recruitment, Sourcing."
419, "Business Strategy, Strategy, Business Planning, Social Entrepreneurship, Strategic Planning, Marketing Strategy, Cross-functional Team..., Change Management, Nonprofits, CRM, Event Management."
420, "Digital Strategy, Digital Marketing, Digital Media, Conversion Optimization, Business Operations..., Business Strategy, Operations Management, SEM, Strategy, Marketing Strategy, CRM, Market Research."
421, " "
422, "Game Design, Mobile Applications, Mobile Games, Game Development, Mobile Marketing, Digital Media, Social Media, Social Games, Mobile Devices, Digital Marketing."
423, " "
424, " "
425, "Cloud Computing, SaaS, Managed Hosting, Data Center, Leadership, PaaS, Virtualization, Business Development."
426, "HR Consulting, Recruiting, Employer Branding, Talent Acquisition, Talent Management, Executive Search, Human Resources, Technical Recruiting, Sourcing, Employee Relations, Performance Management, Employee Engagement, HR Policies, Personnel Management, HRIS, Screening, Organizational..., Contract Recruitment, Succession Planning, Interviews, Recruitment Advertising, Internet Recruiting."
427, "Virtualization, Vendor Management, Training, Outsourcing, CRM, Managed Services."
428, "Marketing Communications, Marketing Strategy, Online Marketing, Marketing, Online Advertising, Entrepreneurship, Creative Writing."
429, "Managed Services, Solution Selling, Telecommunications, Cloud Computing, Direct Sales, Channel Partners."
430, "Digital Media, Strategy, Project Management, Publishing, Program Management, Social Media, Mobile Devices."
431, " "
432, "Cloud Computing, Network Security, Information Security, Security, Pre-sales, CISSP."
433, "Venture Capital."
434, "Supply Chain Management, Freight Forwarding, Logistics, Management, 3PL, Transportation..., International Logistics, Key Account Management, Warehouse Management, IT Solutions, Legal, Process Improvement, Business Development, EDI, Project Management, E-business."
435, "Mobile Devices, Product Management, Business Development, Strategic Partnerships, Product Marketing, New Business Development."
436, "Business Analysis, SDLC, Project Management, Derivatives, Requirements Gathering, Requirements Analysis, Risk Management, Business Requirements, Software Project..., Agile Methodologies, Business Process..., Change Management, User Acceptance Testing, Visio, Investment Banking, Vendor Management, Equities, Program Management, Process Improvement, Business Planning, Analysis."
437, " "
438, "Data Center, Networking, Vendor Management, Unix, Firewalls, Project Management, IT Operations, IBM Mainframe."
439, "Business Intelligence, Software Project..., SAP, ERP, Program Management, Business Analysis."
440, "ITIL, IT Service Management, Outsourcing, Cloud Computing, COBIT, ISO 20000."
441, "Auditing, Internal Audit, Internal Controls, Risk Management, Accounting, Analysis, Financial Accounting, Financial Audits, IT Audit, External Audit, Finance, Project Planning, CISA, Team Building, Financial Analysis."
442, "Recruiting, Executive Search, Talent Acquisition."
443, "Strategy, Marketing Strategy, New Business Development, Strategic Planning, Digital Marketing."
444, "Enterprise Software, Pre-sales, SOA, IPTV, Telecommunications."
445, "Security, Information Security, Penetration Testing, Information Security..., Firewalls, CEH, CISSP, Software Development, Cloud Computing, CISA, Network Security, ITIL, Vulnerability Assessment."
446, "IT Audit, CISA, Information Security..., Governance, Business Continuity, COBIT, CISM, Disaster Recovery, Information Security, ISO 27001."
447, "Financial Modeling, IT Audit, Predictive Modeling, Internal Audit, Statistical Modeling, SOX Compliancy, Operations Research, Genetic Algorithms, Business Statistics, Time Series Analysis, Risk Management, Regression Analysis, Data Modeling, Bayesian statistics, Stochastic Modeling, Data Mining, R, Reverse Logistics, Business Process..., JMT, JMP, SAS, SPSS, MRP, MRPII, VAR."
448, "Personal Development, Management Development, Coaching, Executive Coaching, Executive Development, Culture Change, Change Management, Program Facilitation, Leadership Development, NLP."
449, " "
450, " "
451, "CRM, Solution Selling, Entrepreneurship, Cloud Computing, Business Strategy, Business Intelligence, SaaS, Outsourcing, Management Consulting."
452, "ITIL, Data Center, Integration, IT Strategy, Management."
453, " "
454, "Integrated Marketing, Marketing Management, Marketing Communications, Product Management, Marketing, Strategic Planning, Strategic Thinking, Brand Management, Segmentation, Business Development."
455, "Cloud Computing, Go-to-market Strategy, SaaS, Enterprise Software, Solution Selling, Product Management, Business Development, BIM."
456, "Mobile Applications, Mobile Marketing, Android, Mobile Devices, iOS development, iPhone, Business Development."
457, "Databases, Java, Unix, Oracle, Integration, Linux, Software Project..., Requirements Analysis, Data Migration."
458, "Recruiting, Start-ups, Vendor Management."
459, "Accounting, Business Strategy, Governance, Executive Management, Change Management, Management Consulting, Team Building, Project Planning, Regulatory Requirements."
460, "Brand Management, Marketing, Marketing Communications, Marketing Strategy, Marketing Research, Social Media Marketing."
461, "SEO, Online Marketing."
462, "Data Center, Telecommunications, Cloud Computing, Strategic Partnerships, IP, Channel Partners, Management, New Business Development, Vendor Management."
463, "IT Strategy, Asia Pacific, IT Management, Strategic Planning, Leadership, Strategic Partnerships, Information Technology, Vendor Management."
464, "Cloud Computing, Enterprise Software, Professional Services."
465, "New Media, Online Advertising, Social Media, Digital Media, Social Media Marketing, E-commerce."
466, "Enterprise Software, Cloud Computing, SaaS, Software Development, IT Strategy, Professional Services, SOA, Enterprise Architecture, Project Management."
467, "Breaking News, Journalism, Newspapers, Online Journalism, Publications, News Writing, Project Management, Advertorials, Online News, Account Servicing, Content Strategy, Copywriting, Editorial."
468, "Cloud Computing, SharePoint, C#, .NET, Akamai, Streaming Media, Project Server, PMP, EPM, C."
469, "Human Resources, Employee Relations, HR Policies, Performance Management, Talent Management, Recruiting, Employee Engagement, HRIS, HR Consulting, Talent Acquisition, Personnel Management, Succession Planning."
470, "Settlement, Investment Banking, Equities, Unix Shell Scripting, SWIFT messaging, Unix, Solaris, SQL Tuning, Securities, Euroclear, Oracle SQL, SQL*Plus, Microsoft SQL Server, Perl, Windows, Java, Swift Alliance, Omgeo Oasys, PayPlus, Continuous Linked..., HP-UX."
471, "Business Development, Payments, Strategy, Mobile Payments, E-commerce, Strategic Partnerships, Leadership."
472, "Security, Cloud Computing, Business Development, Start-ups."
473, "Digital Media, Digital Marketing, Online Advertising, Mobile Devices, Digital Strategy, Mobile Marketing, Strategy."
474, "Business Intelligence, Telecommunications, Solution Selling, Outsourcing, Software Development, Business Development, Business Analysis."
475, " "
476, "Information Architecture, Usability Testing, User-centered Design, User Experience, Heuristic Evaluation, Interaction Design, Human Computer..., Persona, Card Sorting, User Interface Design, Contextual Inquiry, User Research, User Experience Design."
477, "Account Management, Marketing Communications, Business English, Mandarin, Cantonese, French."
478, "CISA, Internal Controls, Accounting, Governance, Sarbanes-Oxley Act, Big 4, IT Strategy, Information Security..., Information Security, Internal Audit, Business Continuity, Security, ITIL, IT Risk Management, PCI DSS, CISSP, Cloud Computing, Network Security, Computer Security, Vendor Management, IT Management."
479, "Domain Names, Internet Services, Event Management, IPv6, Project Management, Service Providers, Internet Strategy, Business Development, Start-ups."
480, " "
481, " "
482, "Business Development, CRM, Business Strategy, Leadership."
483, "Android, MySQL, iOS development, Web Applications, Objective-C, Mobile Devices."
484, "Tax, International Tax, Private Equity, Transfer Pricing, Financial Services, Tax Advisory, Human Resources, Hedge Funds, Management Consulting, Corporate Tax, Start-ups."
485, "Public Relations, Event Management, Project Management, Strategy, Social Media Marketing, Marketing."
486, " "
487, "Business Development, Web Video, VOD, Business Intelligence, IPTV."
488, "Governance, Information Security..., IT Audit, Security, Disaster Recovery."
489, "Program Management, Enterprise Architecture, Business Alliances, Solution Architecture, Professional Services."
490, "Post Production, Media Production, Digital Media, Social Media, Production Managment, Television, Animation, Producing, Project Coordination."
491, " "
492, "Recruiting, Sourcing, Talent Management, Human Resources, Start-ups."
493, "Internal Audit, Access, Risk Management, Auditing, Visio, Project Management, Internal Controls, IT Audit."
494, " "
495, "E-commerce, Cloud Computing, Enterprise Software, Software Project..., Solution Selling, HTML, Account Management, Product Management, Business Intelligence."
496, "Cloud Computing, SaaS, New Business Development."
497, "Project Management, Cloud Computing, Leadership, Business Strategy, IT Strategy, Start-ups, SaaS, Management Consulting."
498, "ERP, SAP ERP, SAP, SAP Netweaver, Business Intelligence, Enterprise Software, ABAP."
499, "Risk Management, Due Diligence, Management Consulting, Corporate Governance, Internal Audit, Enterprise Risk..., Auditing, Change Management."
500, "Cloud Computing, Strategy, SaaS, Business Development, Enterprise Software, Start-ups."
501, "Leadership, Marketing Strategy, Solution Selling, SaaS, Business Intelligence."
502, "Sports Marketing, Sports, Product Management."
503, "Management, Business Development, Business Strategy, Leadership, Project Management, Business Analysis, Team Building, New Business Development, Management Consulting."
504, "Cloud Computing, Product Management, E-commerce, B2B, CRM, SaaS."
505, "Management, Cloud Computing, Enterprise Software, Solution Selling, SaaS, Business Intelligence, Channel, Sales & Marketing...."
506, "Enterprise Software, Go-to-market Strategy, Cloud Computing, Strategy."
507, "Cloud Computing, Business Intelligence, Digital Media, Social Media, Digital Marketing, Facebook, Business, Security."
508, "IT Strategy, IT Outsourcing, IT Service Management, Managed Services, IT Operations, Vendor Management."
509, "Advertising, Digital Marketing, Mobile Marketing, Online Advertising, Marketing Strategy, Marketing Communications, Online Marketing, E-commerce."
510, "SEM, Digital Marketing, Web Analytics, Analytics, Mobile Devices, Social Media, Digital Strategy."
511, "Digital Marketing, Business Development, Mobile Marketing, Online Advertising, Digital Media, Media Sales, Mobile Advertising, Digital Strategy, SEM, Search Marketing, E-commerce, Online Marketing, Ad Networks, Analytics, Media Planning, Account Management, Social Media Marketing, Strategic Partnerships."
512, "Cloud Computing, Go-to-market Strategy, Business Development, Leadership, Product Marketing, ERP, Sales Management, Solution Selling, Business Operations."
513, " "
514, "Start-ups, Strategic Partnerships, Strategy, Professional Services, Program Management, Management, Entrepreneurship, Strategic Planning."
515, "Solution Selling, Professional Services, Selling, SaaS, Account Management, Leadership, Strategy, Sales Management."
516, "Information Security, Security, Penetration Testing, Computer Forensics, CISSP, IT Management."
517, "Teaching, Social Networking, Training, Staff Development, Leadership, Career Counseling, Project Management, University Teaching."
518, "E-commerce, Cloud Computing, Vendor Management, Agile Project Management, Software Development, Web Project Management, Strategic Planning, Digital Marketing."
519, "Banking, User Experience, Strategy, Digital Strategy, IT Management, Project Management, Change Management, Integration, CISA, Information Security, CRM, Credit Risk, Commercial Banking, Retail Banking."
520, "E-commerce, Software Development, Management, Digital Media, Software Project..., Team Management."
521, "ERP, IT Strategy, Management Consulting, Business Process..., Business Analysis, PMP, Project Management, Enterprise Architecture, Smart Grid, Technology Enabled..., Operations Management, Change Management, Stakeholder Management."
522, "Documentaries, Video Production, Broadcast."
523, "Project Management, SDLC, Security, PMP, Process Improvement, Management, Integration, Testing, Quality Assurance, Analysis, Project Planning, Software Project..., Vendor Management, Business Analysis, Risk Management."
524, "Web Development, PHP, jQuery, MySQL, Flash, Programming, JavaScript, CSS, HTML, SQL, Social Media, HTML 5, Linux."
525, "Key Account Management, Demand Generation, Value Based Selling, CXO level engagement, Goal-oriented...."
526, "Cloud Computing, Solution Selling, Project Management, Channel Partners, International Sales, Product Management, Start-ups, Business Strategy, Channel, SaaS, Strategy, Data Center, Team Leadership, Strategic Partnerships, Security, Product Marketing, Marketing Strategy."
527, "ITIL, IT Management, Data Center, Operations Management, Information Technology, IT Strategy, Change Management."
528, "Security, Network Security, Cloud Computing, Information Security, CISSP, Telecommunications."
529, "Business Development, Strategy, Market Research, Management, Mobile Devices, Financial Analysis, Competitive Analysis."
530, "IT Management, IT Strategy, Integration, SaaS, Program Management, Business Analysis, Consulting."
531, "Information Security, Information Security..., CISSP, ISO 27001, PCI DSS."
532, "Telecommunications, PMP, Semiconductors, CCNA, Electronics, Cisco, Engineering."
533, "Project Management."
534, "Negotiation, Product Management, Contract Negotiation."
